energy,prob,count
-62.08319936,0.026,26
-54.74947485,0.013,13
-54.7234301,0.018,18
-52.57047812,0.012,12
-52.03310674,0.011,11
-51.92413129,0.011,11
-51.66209158,0.012,12
-50.90464937,0.006,6
-48.97143482,0.01,10
-47.47399391,0.003,3
-47.36409821,0.005,5
-46.99261757,0.009,9
-46.47174608,0.01,10
-45.65515553,0.006,6
-44.70059191,0.005,5
-44.62571424,0.008,8
-44.42185716,0.004,4
-44.32959819,0.007,7
-44.28114957,0.008,8
-44.02982499,0.008,8
-43.52950503,0.002,2
-43.52019341,0.007,7
-43.37530692,0.002,2
-43.31583889,0.004,4
-42.9956452,0.003,3
-42.94292271,0.005,5
-42.20645282,0.005,5
-42.20437578,0.004,4
-42.149551,0.004,4
-42.09540033,0.006,6
-41.70548905,0.001,1
-41.1617275,0.003,3
-41.09315249,0.003,3
-41.06614345,0.003,3
-40.85781033,0.005,5
-40.7768441,0.003,3
-40.2199087,0.005,5
-40.20716432,0.002,2
-39.88048892,0.008,8
-39.83614916,0.002,2
-39.20239358,0.003,3
-39.16249495,0.005,5
-38.99082749,0.005,5
-38.84413301,0.005,5
-38.54094143,0.001,1
-38.49422967,0.007,7
-38.44472435,0.002,2
-38.40436307,0.002,2
-38.19575049,0.004,4
-38.1764168,0.006,6
-37.98855644,0.002,2
-37.76652435,0.003,3
-37.7365428,0.002,2
-37.57905406,0.001,1
-37.0875891,0.002,2
-37.00698113,0.001,1
-36.96833874,0.004,4
-36.73471695,0.002,2
-36.651252,0.003,3
-36.42165345,0.001,1
-36.32736201,0.002,2
-36.27639396,0.002,2
-36.18174646,0.002,2
-36.05229162,0.001,1
-35.99169827,0.004,4
-35.76772441,0.004,4
-35.56777837,0.003,3
-35.49818639,0.002,2
-35.42743461,0.003,3
-35.42214744,0.008,8
-35.40324587,0.003,3
-35.27469915,0.003,3
-35.25046315,0.003,3
-35.22372033,0.001,1
-35.18197967,0.001,1
-35.07657048,0.007,7
-35.04515527,0.002,2
-34.81294616,0.003,3
-34.49087951,0.004,4
-34.35784194,0.001,1
-34.35410798,0.003,3
-34.27064304,0.003,3
-34.26910518,0.002,2
-33.71705533,0.005,5
-33.57569267,0.002,2
-33.44432927,0.002,2
-33.41541793,0.001,1
-33.38271812,0.001,1
-33.1950424,0.005,5
-32.69610569,0.001,1
-32.40568712,0.003,3
-32.36207864,0.001,1
-32.30140954,0.002,2
-32.03671297,0.001,1
-31.94596412,0.001,1
-31.89601253,0.001,1
-31.87502867,0.002,2
-31.79382739,0.001,1
-31.6987206,0.001,1
-31.6595307,0.001,1
-31.64468796,0.001,1
-31.55678574,0.002,2
-31.46183869,0.002,2
-31.43054122,0.002,2
-31.06604785,0.003,3
-31.01331416,0.001,1
-30.94636558,0.001,1
-30.31746817,0.002,2
-30.045154,0.001,1
-30.04457256,0.001,1
-29.78839392,0.001,1
-29.32211006,0.001,1
-29.31119223,0.003,3
-29.18328258,0.005,5
-29.117627,0.001,1
-29.0383578,0.004,4
-28.99079957,0.001,1
-28.8972754,0.002,2
-28.8750178,0.001,1
-28.85300143,0.001,1
-28.70193893,0.003,3
-28.69286374,0.001,1
-28.67186566,0.002,2
-28.61337373,0.001,1
-28.14321916,0.003,3
-28.09204527,0.003,3
-28.08842293,0.001,1
-28.06237818,0.004,4
-27.8776526,0.001,1
-27.84825516,0.001,1
-27.76563173,0.003,3
-27.73164572,0.002,2
-27.64835374,0.003,3
-27.37972338,0.002,2
-27.03713313,0.001,1
-26.80927066,0.002,2
-26.56829479,0.003,3
-26.53984571,0.002,2
-26.44780547,0.001,1
-26.35039584,0.001,1
-26.28786087,0.003,3
-26.19193584,0.001,1
-26.02669127,0.002,2
-25.9094262,0.001,1
-25.82290453,0.003,3
-25.67387027,0.002,2
-25.49483332,0.001,1
-25.37205482,0.005,5
-25.35763632,0.001,1
-25.35620693,0.001,1
-25.25640117,0.001,1
-25.25510514,0.001,1
-25.19774693,0.001,1
-25.07023936,0.002,2
-25.02835412,0.002,2
-25.00230938,0.003,3
-25.00103966,0.001,1
