energy_raw,prob,count
-62.08319936,0.025,25
-54.74947485,0.012,12
-54.7234301,0.022,22
-52.57047812,0.013,13
-52.03310674,0.013,13
-51.92413129,0.009,9
-51.66209158,0.007,7
-50.90464937,0.013,13
-48.97143482,0.007,7
-47.47399391,0.007,7
-47.36409821,0.011,11
-46.99261757,0.008,8
-46.47174608,0.011,11
-45.65515553,0.004,4
-44.70059191,0.005,5
-44.62571424,0.006,6
-44.42185716,0.003,3
-44.32959819,0.005,5
-44.28114957,0.006,6
-44.02982499,0.004,4
-44.01772607,0.007,7
-43.52950503,0.002,2
-43.52019341,0.004,4
-43.37530692,0.007,7
-43.31583889,0.006,6
-42.9956452,0.006,6
-42.94292271,0.003,3
-42.20645282,0.008,8
-42.20437578,0.002,2
-42.149551,0.005,5
-42.09540033,0.005,5
-41.70548905,0.008,8
-41.1617275,0.003,3
-41.09315249,0.005,5
-41.06614345,0.003,3
-40.85781033,0.004,4
-40.7768441,0.005,5
-40.2199087,0.007,7
-40.20716432,0.002,2
-39.88048892,0.003,3
-39.83614916,0.002,2
-39.20239358,0.006,6
-39.16249495,0.005,5
-38.99082749,0.003,3
-38.84413301,0.005,5
-38.54094143,0.005,5
-38.49422967,0.001,1
-38.44472435,0.002,2
-38.40436307,0.001,1
-38.19575049,0.006,6
-38.1764168,0.005,5
-37.98855644,0.003,3
-37.76652435,0.005,5
-37.7365428,0.001,1
-37.0875891,0.004,4
-37.00698113,0.002,2
-36.96833874,0.002,2
-36.73471695,0.008,8
-36.651252,0.002,2
-36.42165345,0.003,3
-36.32736201,0.002,2
-36.27639396,0.001,1
-36.18174646,0.002,2
-36.05229162,0.001,1
-35.99169827,0.003,3
-35.76772441,0.002,2
-35.56777837,0.001,1
-35.49818639,0.003,3
-35.42743461,0.003,3
-35.42214744,0.005,5
-35.40324587,0.003,3
-35.28963449,0.001,1
-35.27469915,0.005,5
-35.25046315,0.003,3
-35.22372033,0.003,3
-35.18197967,0.002,2
-35.07657048,0.003,3
-35.04515527,0.001,1
-34.81294616,0.003,3
-34.49087951,0.001,1
-34.35784194,0.003,3
-34.35410798,0.003,3
-34.27064304,0.002,2
-34.26910518,0.003,3
-33.57569267,0.002,2
-33.41541793,0.002,2
-33.38271812,0.003,3
-33.3579637,0.002,2
-32.69610569,0.001,1
-32.40568712,0.004,4
-32.3804091,0.002,2
-32.36207864,0.001,1
-32.31528295,0.001,1
-32.30140954,0.001,1
-32.03671297,0.001,1
-31.89601253,0.002,2
-31.79382739,0.003,3
-31.6987206,0.002,2
-31.6875282,0.001,1
-31.6595307,0.003,3
-31.64468796,0.006,6
-31.55678574,0.002,2
-31.46183869,0.001,1
-31.43054122,0.002,2
-31.39806417,0.002,2
-31.16924407,0.002,2
-31.06604785,0.003,3
-31.01331416,0.002,2
-30.94636558,0.002,2
-30.31746817,0.002,2
-30.26790836,0.001,1
-30.045154,0.001,1
-29.78839392,0.002,2
-29.32211006,0.002,2
-29.31119223,0.003,3
